"filename", "language", "TypeScript", "JSON", "YAML", "Handlebars", "Markdown", "SCSS", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ScriptsPage\Scriptspage.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 7, 17, 307
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ScriptsPage\SectionIScript\SectionIScript.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ScriptsPage\SectionIScript\_sectionIScript.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ScriptsPage\_scriptspage.comp.scss", "SCSS", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 20, 111
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Thanks\Thanks.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 6, 36
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Thanks\_thanks.scss", "SCSS", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\VerificationEmail\EmailVerification.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 7, 43
"c:\Users\mgall\Documents\Projects\ivex\client\src\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 14, 36, 207
"c:\Users\mgall\Documents\Projects\ivex\client\src\css\main.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\mgall\Documents\Projects\ivex\client\src\helpers\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\mgall\Documents\Projects\ivex\client\src\helpers\requests\requests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 9, 38
"c:\Users\mgall\Documents\Projects\ivex\client\src\helpers\validators\adminforms.validator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 3, 16, 69
"c:\Users\mgall\Documents\Projects\ivex\client\src\helpers\validators\publisherform.validator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 3, 14, 64
"c:\Users\mgall\Documents\Projects\ivex\client\src\helpers\validators\scriptforms.validator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 4, 17, 81
"c:\Users\mgall\Documents\Projects\ivex\client\src\helpers\validators\userforms.validator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 9, 24, 116
"c:\Users\mgall\Documents\Projects\ivex\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\mgall\Documents\Projects\ivex\client\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\mgall\Documents\Projects\ivex\client\src\main.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 2, 44
"c:\Users\mgall\Documents\Projects\ivex\client\src\scripts\annotator.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 49
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Alerts\ErrorAlert\ErrorAlert.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 7, 34
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Alerts\ErrorAlert\_errorAlert.util.scss", "SCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 1, 10
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Alerts\InfoAlert\InfoAlert.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Alerts\InfoAlert\_successAlert.util.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Alerts\SuccessAlert\SuccessAlert.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 7, 34
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Alerts\SuccessAlert\_successAlert.util.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Button\Button.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Button\Radio.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Button\SearchButton.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Button\_button.util.scss", "SCSS", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 3, 18, 115
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Footer\Footer.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 7, 65
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Footer\_footer.util.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Heading\Heading.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
